id,rtti_name,short_name,vtable_rva
253,MissionInfoUpdateEvent,missioninfoupdate,0x2b5c8c0
254,MissionObjectiveBarUpdateEvent,missionobjectivebarupdate,0x2b5c888
255,MissionObjectiveHintUpdateEvent,missionobjectivehintupdate,0x2b54b88
256,MissionOfferAddedEvent,missionofferadded,0x2c22890
257,MissionOfferRemovedEvent,missionofferremoved,0x2c22900
258,MissionOfferUpdatedEvent,missionofferupdated,0x2b54e98
259,MissionRemovedEvent,missionremoved,0x2c228c8
260,MoneyUpdatedEvent,moneyupdated,0x2b54e60
261,MovedIntoInternalStorageEvent,movedintointernalstorage,0x2b56a28
262,NavBeaconLaunchedEvent,navbeaconlaunched,0x2b55c60
263,NavHelperGeneratedEvent,navhelpergenerated,0x2b5c3f0
264,NavHelperRegeneratedEvent,navhelperregenerated,0x2b5c2d8
265,NotificationFreedEvent,notificationfreed,0x29f1360
266,NPCCreatedEvent,npccreated,0x2b577b8
267,NPCFinishWalkEvent,npcfinishwalk,0x2b577f0
268,NPCSlotsValidatedEvent,npcslotsvalidated,0x2b53a78
269,NPCWalkFinishedEvent,npcwalkfinished,0x2af60c0
270,ObjectAbandonedEvent,objectabandoned,0x2a6e700
271,ObjectChangedOwnerEvent,objectchangedowner,0x2b56398
272,ObjectChangedStateEvent,objectchangedstate,0x2b56360
273,ObjectChangedStateInLiveViewEvent,objectchangedstateinliveview,0x2b53e68
274,ObjectChangedTrueOwnerEvent,objectchangedtrueowner,0x2b56248
275,ObjectCollidedEvent,objectcollided,0x2b54060
276,ObjectCommanderSetEvent,objectcommanderset,0x2b55950
277,ObjectDefenceDroneModeChangedEvent,objectdefencedronemodechanged,0x2b55218
278,ObjectDefenceDronesArmedEvent,objectdefencedronesarmed,0x2a96bc0
279,ObjectDefenceDronesDisarmedEvent,objectdefencedronesdisarmed,0x2a96bf8
280,ObjectDockAssignedEvent,objectdockassigned,0x2b561a0
281,ObjectDockedEvent,objectdocked,0x2b56210
282,ObjectDockingStartedEvent,objectdockingstarted,0x2b562b8
283,ObjectDockUnassignedEvent,objectdockunassigned,0x2b55988
284,ObjectEnteredEvent,objectentered,0x2b56328
285,ObjectEnteredLiveViewEvent,objectenteredliveview,0x2b5c700
286,ObjectEnteredPlayerViewEvent,objectenteredplayerview,0x2b5c770
287,ObjectLaunchedCountermeasureEvent,objectlaunchedcountermeasure,0x2b55d78
288,ObjectLaunchedDistressDroneEvent,objectlauncheddistressdrone,0x2b55ad8
289,ObjectLaunchedLaserTowerEvent,objectlaunchedlasertower,0x2b55c28
290,ObjectLaunchedMineEvent,objectlaunchedmine,0x2b55c98
291,ObjectLaunchedNavBeaconEvent,objectlaunchednavbeacon,0x2b55b48
292,ObjectLaunchedResourceProbeEvent,objectlaunchedresourceprobe,0x2b55bb8
293,ObjectLaunchedSatelliteEvent,objectlaunchedsatellite,0x2b55a68
294,ObjectLeftEvent,objectleft,0x2b562f0
295,ObjectLeftLiveViewEvent,objectleftliveview,0x2b5c6c8
296,ObjectLeftPlayerViewEvent,objectleftplayerview,0x2b5c738
